Activity,Overall Risk Scoring,Under 10,10 to 18,18 to 19,20 to 29,30 to 49 years,50 to 69 years,70 years and older,Reference 1 ,Reference 2,Reference 3,Reference 4,,
Biking alone,1,1,1,1,1,1,2,3,https://sf.gov/stay-home-except-essential-needs,https://ecf.com/news-and-events/news/cycling-against-covid-19,,,,
Biking with a friend,2,2,2,2,2,3,3,4,https://sf.gov/stay-home-except-essential-needs,https://ecf.com/news-and-events/news/cycling-against-covid-20,,,,
Biking with more than one friend,2,2,2,2,2,3,3,5,https://sf.gov/stay-home-except-essential-needs,https://ecf.com/news-and-events/news/cycling-against-covid-21,,,,
Communting via walking,1,1,1,1,1,1,1,1,https://chi.streetsblog.org/2020/03/13/a-silver-lining-of-the-coronavirus-epidemic-more-walking-biking-and-telecommuting/,,,,,
Commuting via biking,1,1,1,1,1,2,2,2,https://www.nytimes.com/2020/03/14/nyregion/coronavirus-nyc-bike-commute.html,https://www.theguardian.com/environment/bike-blog/2020/mar/20/why-not-encourage-cycling-during-the-coronavirus-lockdown,,,,
Commuting via driving,2,2,2,2,2,2,2,2,https://la.curbed.com/2020/3/13/21178501/los-angeles-coronavirus-how-to-get-around-transportation,,,,,
Commuting via public transporation,4,4,4,4,4,4,4,5,https://www.nbcnewyork.com/news/local/nyc-issues-new-commuter-guidelines-to-combat-coronavirus-spread/2317584/,,,,,
Doctor's Appointment*non-routine,3,3,3,3,3,3,3,4,https://health.usnews.com/conditions/articles/what-to-do-about-routine-doctor-visits-during-coronavirus,https://www.npr.org/sections/health-shots/2020/03/17/817251610/its-time-to-get-serious-about-social-distancing-here-s-how,,,,
Dog Walking,2,2,2,2,2,2,3,3,https://www.avma.org/resources-tools/animal-health-and-welfare/covid-19,,,,,
Elevator,2,2,2,2,2,2,2,3,https://www.brickunderground.com/live/coronavirus-covid-19-rethinking-elevator-etiquette-buildings-nyc,,,,,
Exchanging Dollars,2,1,1,1,2,2,2,2,https://www.cnn.com/2020/03/07/tech/mobile-payments-coronavirus/index.html,,,,,
"Food (Delivery, Occupation)",3,N/A,N/A,3,3,3,4,4,https://www.nbcnews.com/think/opinion/food-delivery-workers-are-coronavirus-first-responders-here-s-how-ncna1164946,https://www.nytimes.com/interactive/2020/03/15/business/economy/coronavirus-worker-risk.html,,,,
"Food (Delivery, Volunteer)",2,N/A,N/A,2,2,2,3,3,https://www.npr.org/sections/health-shots/2020/03/17/817251610/its-time-to-get-serious-about-social-distancing-here-s-how,,,,,
"Food, Accepting Delivery",1,1,1,1,1,1,1,1,https://www.cnn.com/2020/03/20/health/food-safety-groceries-coronavirus-wellness/index.html,https://www1.nyc.gov/assets/doh/downloads/pdf/imm/covid-19-residential-buildings-faq.pdf,,,,
"Food, Takeout",2,2,2,2,2,2,3,3,https://www.eater.com/2020/3/16/21182509/is-it-safe-to-order-delivery-takeout-during-coronavirus-pandemic-covid-19,https://nypost.com/2020/03/24/how-to-safely-order-takeout-and-delivery-food-during-coronavirus-lockdown/,,,,
Going to barbership,3,2,2,2,3,3,4,4,https://www.refinery29.com/en-us/2020/03/9585297/hair-salons-nail-salons-closed-coronavirus,,,,,
