United States,308745538,308758105,309321666,311556874,313830990,315993715,318301008,320635163,322941311,324985539,326687501,328239523
".Autauga County, Alabama",54571,54597,54773,55227,54954,54727,54893,54864,55243,55390,55533,55869
".Baldwin County, Alabama",182265,182265,183112,186558,190145,194885,199183,202939,207601,212521,217855,223234
".Barbour County, Alabama",27457,27455,27327,27341,27169,26937,26755,26283,25806,25157,24872,24686
".Bibb County, Alabama",22915,22915,22870,22745,22667,22521,22553,22566,22586,22550,22367,22394
".Blount County, Alabama",57322,57322,57376,57560,57580,57619,57526,57526,57494,57787,57771,57826
".Bullock County, Alabama",10914,10911,10876,10675,10606,10549,10663,10400,10389,10176,10174,10101
".Butler County, Alabama",20947,20940,20932,20866,20670,20356,20327,20162,20012,19888,19631,19448
".Calhoun County, Alabama",118572,118526,118408,117744,117190,116471,115917,115469,114973,114710,114331,113605
".Chambers County, Alabama",34215,34169,34122,34033,34104,34139,33977,33996,33745,33707,33600,33254
".Cherokee County, Alabama",25989,25979,25963,25989,25958,26017,25895,25732,25768,25805,26014,26196
".Chilton County, Alabama",43643,43632,43653,43689,43582,43628,43760,43700,43866,44120,44163,44428
".Choctaw County, Alabama",13859,13858,13849,13609,13563,13397,13317,13231,13045,12925,12833,12589
".Clarke County, Alabama",25833,25833,25766,25587,25155,25123,24864,24698,24340,24063,23918,23622
".Clay County, Alabama",13932,13930,13898,13687,13434,13404,13441,13415,13393,13350,13294,13235
".Cleburne County, Alabama",14972,14972,15004,14928,14889,14976,15026,14914,14848,14899,15010,14910
".Coffee County, Alabama",49948,49955,50208,50444,51141,50681,50657,50963,51202,51853,51950,52342
".Colbert County, Alabama",54428,54428,54524,54539,54570,54529,54462,54417,54497,54695,55004,55241
".Conecuh County, Alabama",13228,13236,13236,13195,13046,12912,12677,12678,12500,12431,12292,12067
".Coosa County, Alabama",11539,11756,11780,11486,11346,11254,11037,10934,10819,10724,10643,10663
".Covington County, Alabama",37765,37762,37809,38020,37805,37814,37760,37556,37382,37062,36953,37049
".Crenshaw County, Alabama",13906,13893,13869,13894,13915,13847,13851,13850,13916,13858,13825,13772
".Cullman County, Alabama",80406,80406,80456,80410,80279,80690,81068,81761,82450,82867,83418,83768
".Dale County, Alabama",50251,50251,50394,50122,50289,49771,49414,49365,49362,49342,49143,49172
".Dallas County, Alabama",43820,43813,43854,43251,42789,41976,41554,40936,40080,39238,38294,37196
".DeKalb County, Alabama",71109,71120,71163,71365,70944,70912,70993,71087,71104,71437,71407,71513
".Elmore County, Alabama",79303,79272,79552,79993,80193,80536,80538,80872,81204,81422,81011,81209
".Escambia County, Alabama",38319,38320,38345,38204,38023,37765,37735,37661,37475,36993,36524,36633
".Etowah County, Alabama",104430,104429,104459,104369,104278,103884,103399,102998,102855,103007,102611,102268
".Fayette County, Alabama",17241,17235,17229,17052,16945,16824,16772,16696,16563,16466,16445,16302
